epoch,dice_loss,acc,iou
10,0.439,76.701,0.413
20,0.556,57.541,0.298
30,0.444,73.806,0.411
40,0.397,77.803,0.467
50,0.641,62.857,0.240
60,0.608,65.338,0.281
70,0.473,71.058,0.385
80,0.399,76.112,0.481
90,0.491,70.448,0.370
100,0.422,76.188,0.455
110,0.464,74.096,0.411
120,0.442,74.126,0.436
130,0.456,73.111,0.421
140,0.516,69.495,0.364
150,0.405,75.196,0.476
160,0.381,75.771,0.507
170,0.487,72.906,0.398
180,0.436,73.811,0.448
190,0.454,72.113,0.428
200,0.458,72.343,0.426
210,0.420,72.637,0.466
220,0.522,67.765,0.335
230,0.347,80.295,0.541
240,0.445,74.250,0.437
250,0.374,76.919,0.510
260,0.396,77.099,0.495
270,0.463,72.505,0.425
280,0.394,76.005,0.494
290,0.510,70.808,0.378
300,0.341,77.854,0.546
310,0.424,75.950,0.434
320,0.372,76.367,0.507
330,0.488,71.206,0.395
340,0.411,76.006,0.477
350,0.448,74.116,0.440
360,0.348,79.181,0.545
370,0.483,72.197,0.405
380,0.423,75.970,0.458
390,0.358,78.975,0.536
400,0.432,75.629,0.464
410,0.398,76.877,0.491
420,0.414,75.265,0.472
430,0.465,72.398,0.409
440,0.455,72.237,0.425
450,0.619,66.055,0.272
460,0.342,75.675,0.540
470,0.392,75.869,0.493
480,0.455,72.325,0.424
490,0.395,76.368,0.495
500,0.410,75.675,0.475
510,0.380,77.772,0.509
520,0.472,73.250,0.414
530,0.395,76.088,0.492
540,0.447,74.624,0.442
550,0.418,75.349,0.469
560,0.335,80.543,0.565
570,0.419,75.844,0.471
580,0.393,76.769,0.497
590,0.365,77.750,0.523
600,0.369,76.964,0.520
610,0.422,74.685,0.468
620,0.525,68.555,0.368
630,0.439,72.357,0.447
640,0.409,73.745,0.478
650,0.373,77.084,0.520
660,0.397,76.753,0.498
670,0.499,70.073,0.387
680,0.436,65.769,0.429
690,0.389,77.040,0.502
700,0.397,76.597,0.500
710,0.374,77.274,0.516
720,0.310,80.150,0.590
730,0.389,76.733,0.505
740,0.398,76.431,0.494
750,0.708,54.458,0.189
760,0.473,72.259,0.411
770,0.467,73.318,0.424
780,0.418,75.014,0.469
790,0.454,73.656,0.434
800,0.426,74.213,0.457
810,0.333,76.435,0.555
820,0.357,78.324,0.534
830,0.375,76.837,0.516
840,0.426,74.147,0.443
850,0.477,73.042,0.415
860,0.370,75.962,0.512
870,0.349,78.026,0.542
880,0.349,78.906,0.544
890,0.416,75.579,0.473
900,0.411,75.426,0.478
